+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[2]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[7]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[6]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[8]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |u_ila_0/inst/ila_core_inst/u_trig/U_TM/N_DDR_MODE.G_NMU[14].U_M/allx_typeA_match_detection.ltlib_v1_0_0_allx_typeA_inst/probeDelay1_reg[1]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[9]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[0]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[3]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[10]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[4]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[1]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[15]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[14]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                          design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[5]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[11]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[12]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[13]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                         design_1_i/myip2_0/U0/myip2_v1_0_S00_AXI_inst/axi_rdata_reg[16]/D|
| clk_out2_design_1_clk_wiz_0_0 |                clk_pll_i |                                             u_ila_0/inst/ila_core_inst/shifted_data_in_reg[7][146]_srl8/D|
